address	categories	city	country_code	country_name	description	domain	domain_suffix	email	language	link	name	page_type	phone	phone_country_code	raw_address	raw_phone	region_code	region_name	site_name	text	tld	zip_code
910 7 Ave SW #1200, Calgary, AB T2P 3N8, Canada	Social Services & NGOs	calgary	ca	canada		immigrantservicescalgary.ca	ca		en		Immigrant Services Calgary		14032651120	ca	910 7 Ave SW #1200 · In Northland Bldg	+1 403-265-1120	ab	alberta	Immigrant Services Calgary	4.8 (357) · Social services organization 910 7 Ave SW #1200 · In Northland Bldg Closed ⋅ Opens 8:30AM Mon · +1 403-265-1120	ca	t2p 3n8
572 18 St SW, Medicine Hat, AB T1A 8A7, Canada	Drywall & Insulation Contractors	medicine hat	ca	canada		pattbros.com	com		en		Patterson Bros Drywall (1991) Ltd		14035271298	ca	572 18 St SW	+1 403-527-1298	ab	alberta	Patterson Bros Drywall	4.9 (9) · Insulation contractor 572 18 St SW Closed ⋅ Opens 8AM · +1 403-527-1298	com	t1a 8a7
115 boul. bromont, j2l2k7, bromont, qc, canada, quebec	Bakeries & Desserts	bromont	ca	canada	Aréna de Repentigny / Le gardeur -Trois glaces -Le Sheva's billard bar... -Poker -kinzo -Bingo -Thai Express -White Rabbit -Nora Gym -Yoga Edem - Ital Cucina  Additional Information L’Aréna de Repentigny a ouvert ses portes en septembre 1973. Neuf ans plus tard, la famille Doucet, avec Yves comme chef de file, en a fait l’acquisition. En 19...83, on y a ajouté une deuxième glace et 20 000 pieds carrés d’espace commercial. Parallèlement à son implication à Repentigny, la famille Doucet a acquis l’Aréna de Le Gardeur en 1986,Des rénovations majeures à l’Aréna de Repentigny ont complétées en septembre 2014, afin de satisfaire davantage sa clientèle et d’offrir un environnement respectant parfaitement les normes environnementales.	dametartine.ca	ca	jfleclerc@arenarep.ca	fr	http://arenarepentigny.com	Dame Tartine Bromont	LocalBusiness	14509193060	ca	115 Boulevard de Bromont	+1 450-919-3060	qc	quebec	Dame tartine	4.0 (325) · $$ · Breakfast restaurant 115 Boulevard de Bromont Open ⋅ Closes 3PM · +1 450-919-3060 Dine-in·No delivery·Takeout	ca	j2l 2k7
300 brindley street, 53805, boscobel, wi, wisconsin	Middle Schools	boscobel	us	united states	Akhurst Machinery Your ONE PLACE for industrial equipment and supplies Products Woodworking Machinery, Panel Processing, Wood Remanufacturing, CNC Machines, Machine Tools, Fabricating, Metalworking, Grinding and Sharpening Equipment	boscobel.k12.wi.us	k12.wi.us	sales@akhurst.com	en	http://akhurst.com	Boscobel Area Schools	LocalBusiness	16083754164	us	1110 Park St	+1 608-375-4164	wi	wisconsin	Boscobel Area School	3.2 (5) · School 1110 Park St +1 608-375-4164	us	53805
931 redonda st unit 4, r2c 2z2, winnipeg, mb, canada, manitoba	Pet Boarding & Sitting	winnipeg	ca	canada		barklodge.ca	ca		en	https://advantest.com	Bark Lodge	Organization	12047771657	ca	3+ years in business · 931 Redonda St #4	+1 204-777-1657	mb	manitoba	Bark Lodge	"4.6 (124) · Dog day care center 3+ years in business · 931 Redonda St #4 Closed ⋅ Opens 6:30AM Tue · +1 204-777-1657 \... the Aunties (staff) are friendly and willing to chat about the dogs day.\"""""	ca	r2c 2z2
92 s. skill center rd., 85147, sacaton, az, arizona	Elementary Schools	sacaton	us	united states		sacatonschools.org	org		en		Sacaton Elementary School District		15205628600		Sacaton, AZ	(520) 562-8600	az	arizona	Sacaton Elementary School District	4.1 (7) · Elementary school Sacaton, AZ (520) 562-8600	org	85147
120 midair court, l6t 5v1, brampton, on, canada, ontario	Shoe Shining & Repair	brampton	ca	canada		moneysworth-best.com	com		en		Moneysworth & Best Quality Shoe Care Head Office		19057900650	ca	Brampton, ON, Canada	+1 905-790-0650	on	ontario	Moneysworth & Best Quality Shoe Care	4.1 (14) · Corporate office 120 Midair Ct Closed ⋅ Opens 7:30AM Mon · +1 905-790-0650	com	l6t 5v1
18 alliance blvd. unit 4, l4m 5a5, barrie, on, canada, ontario	Office Supplies	barrie	ca	canada		oiinc.ca	ca		en		oi Office Imaging PowerEdge Group Inc.		17057201900	ca	7+ years in business · Barrie, ON, Canada	+1 705-720-1900	on	ontario	Office Imaging PowerEdge Group	5.0 (1) · Print shop 7+ years in business · Barrie, ON, Canada Closed ⋅ Opens 8:30AM Mon · +1 705-720-1900	ca	l4m 5a5
4641 bach ln, 45014, fairfield, oh, ohio	High Schools	fairfield	us	united states		fairfieldcityschools.com	com		en	https://avanihotels.com	Fairfield City School District	LocalBusiness	15138296300	us	Fairfield, OH	(513) 829-6300	oh	ohio	Fairfield City School District	3.4 (5) · District office Fairfield, OH Open ⋅ Closes 4PM · (513) 829-6300	com	45014
712 s broadway st, 54751, menomonie, wi, wisconsin	Educational Publications	menomonie	us	united states		uwstout.edu	edu		en	https://crossfieldagencies.com	University of Wisconsin-Stout	LocalBusiness	17152321122	us	Menomonie, WI	(715) 232-1122	wi	wisconsin	UW-Stout	3.9 (50) · Public university Menomonie, WI Open ⋅ Closes 4:30PM · (715) 232-1122	edu	54751
4812-50 ave, box 10021, t9n0a6, bonnyville, ab, canada, alberta	Drug Stores & Pharmacies	bonnyville	ca	canada		daveydrug.com	com		en	https://arkadiumretroarcade.com	Pharmasave - Davey Drug Mart & Clinic Dispensary	LocalBusiness	17808264445	ca	Bonnyville, AB, Canada	+1 780-826-4445	ab	alberta	Davey Drug Mart	No reviews · Pharmacy Bonnyville, AB, Canada Open ⋅ Closes 9PM · +1 780-826-4445	com	t9n 0a6
338 university dr w, t1j 5c9, lethbridge, ab, canada, alberta	Massage Therapists|Dentists & Dental Clinics	lethbridge	ca	canada		effecttherapy.ca	ca		en		Effect Therapy Ltd.		14033201524	ca	Lethbridge, AB, Canada	+1 403-320-1524	ab	alberta	Effect Therapy	"4.9 (113) · Massage therapist 338 University Dr W Unit 50 Closed ⋅ Opens 8AM Mon · +1 403-320-1524 \Definitely a major factor of why I choose Effect!\"""""	ca	t1j 5c9
